"languageKey(don't modify this)","العربية","English"
"enterKeyword","Enter Keyword","اكتب كلمة البحث"
"searchKeyword","Search by keyword","إبحث بكلمة"
"search","Search","إبحث"
"showLess","Show Less","تقليص"
"showMore","Show More","المزيد"
"home","Home","الرئيسية"
"project","Project","مشروع"
"question","Question","سؤال"
"call","Call","مكالمة"
"submitQuestionButton","Submit Question","اسال الخبير"
"saveAndCompleteLater","Save & Complete Later","احفظ لاحقا"
"askTheExpert","Ask the Expert","اسأل الخبير"
"titleValidation","Please fill Title for the Service","من فضلك ادخل العنوان"
"contentValidation","Please fill content with min of 100 characters","من فضلك ادخل محتوي السؤال"
"serviceProcessed","Question Processed","تم الارسال"
"serviceSaved","Service Request has been saved","لقد تم حفظ السوال للرجوع لاحقا"
"referenceId","Reference ID","الرقم المرجعي"
"postDate","Post Date","التاريخ"
"industry","Industry","القطاع"
"title","Title","العنوان"
"languageField","Language","اللغه"
"assignmentType","Type","النوع"
"comment","Comment","التعليق"
"questionContent","Question Content","محتوي السؤال"
"majorFieldOfExperience","Major Fields Of Experience","مجال التخصص"
"specificField","Specific Fields Of Experience","المجال الفرعي"
"specificallyIn","Specifically in these Areas *",""
"specificallyInHint","You can choose more than one specific field of experience.",""
"commentSubmitted","Comment has submitted successfully.",""
"questionGenerated","Question has been generated for the service successfully.",""
"commentValidation","Please fill the Comment field.",""
"id","ID",""
"clientId","Client ID",""
"fields","Fields","المجال"
"serviceReferenceNumber","Request ID","رقم الطلب"
"serviceQuestionId","Question Roaster Id",""
"serviceReferenceId","Question Reference Id",""
"answersCount","Answers",""
"state","Status","حاله الطلب"
"actionNeeded","Action Needed","المهمه"
"alarm","Alarm","الوقت"
"applyChange","Apply Change",""
"serviceRequestList","Service Requests List","قائمه الطلبات"
"serviceTitle","Add Services","اضافة خدمة"
"writeGreatQuestion","Write Great Question",""
"rollback","Rollback",""
"callTheExpert","Call The Expert","اتصل بالخبير"
"selectAService","Select a Service ....","اختر ما تريد"
"welcomeToMedad","Welcome to Medad! 🎉","مرحبا بك! 🎉"
"Network Error","Network Error","حدث خطأ أثناء الاتصال بالخادم"
"Login","Login","تسجيل الدخول"
"Password","Password","كلمه المرور"
"Email","Email","البريد الالكتروني"
"Email empty error","Please enter your email","برجاء ادخال البريد الالكتروني"
"Password empty error","Please enter your password","برجاء ادخال كلمه السر"
"Invalid Email or password","The email or password is incorrect!","خطأ في البريد الالكتروني او كلمه المرور"
"attachMedia","Attach",""
"questionDetails","Question Details","تفاصيل السؤال"
"consultant","Consultant","الخبير"
"myActivityTableTitle","My Activities",""
"viewAll","View All",""
"seeMore","Read More",""
"learnMore","Learn More",""
"activityType","Activity Type",""
"refNo","Ref. No.",""
"requestDate","Request Date",""
"chargeMyWallet","Charge my wallet",""
"proceed","Proceed",""
"libraryOfResources","Library of Resources",""
"calendarOfEvents","Calendar Of Events",""
"goToLibrary","Go to Library",""
"libraryResources","Library Resources",""
"fullView","Full View",""
"youHave","You Have ",""
"points","40 points",""
"howToWriteBestAnswer","How to write the best answer?",""
"yourRank","Your Rank is : Gold",""
"raiseRank","Raise your Rank",""
"callServiceTitle","Call the Expert",""
"callServiceDescription","Lorem Ipsum is simply dummy text of the printing and typesetting industry.",""
"callServiceButton","Request a Call",""
"assignExpertServiceTitle","Assign a Consultant",""
"assignExpertServiceDescription","Lorem Ipsum is simply dummy text of the printing and typesetting industry.",""
"assignExpertServiceButton","Start the process",""
"projectServiceTitle","It’s a Project",""
"projectServiceDescription","Lorem Ipsum is simply dummy text of the printing and typesetting industry.",""
"projectServiceButton","Start the process",""
"updateAvailableTimesBtn","Update your Available Times",""
"topActiveQuestions","Top Active Questions in the Question Roaster",""
"feedsTimeline","Feeds Timeline",""
"submit","Submit",""
"thankYouForYourAnswer","Thank you for your answer",""
"questionRoaster","Question Roaster",""
"Homepage","Homepage",""
"bookCandidate","Book Candidate",""
"next","Next",""
"back","Back",""
"personalInfo","Personal Information",""
"gender","My Gender *",""
"male","Male",""
"female","Female",""
"country","My Country of Residence*",""
"requiredMessage","This field is required",""
"selectCountryOfResidenceMessage","Select your country of residence *",""
"selectCountry","Select your country",""
"mobileNumber","My Mobile Number *",""
"invalidPhoneMessage","Invalid Phone Number format",""
"currentEmploymentStatus","My Current Employment Status *",""
"fieldsOfSpecializationHint","Select the areas and majors you have solid experience and history in, you can add as many fields as you want. After selecting the major field you can choose the specific sub fields related to it.",""
"fieldsOfSpecialization","Fields of Specialization",""
"industryOfExperience","My Experience is in these Industries *",""
"industryOfExperienceHint","You can choose more than one industry, if your industry is not listed please type it down.",""
"assignmentPreferences","Assignment Preferences",""
"assignmentPreferencesSubtitle","What are your preferences in a project or assignment.",""
"assignmentLanguage","I Can Deliver Professional Services in these Languages *",""
"assignmentLanguageHint","Your preferred languages of the assignments you want to tackle (You may select more than one option).<br> if your language is not listed please type it down.Assignment language",""
"typesOfAssignments","I Prefer to Work on Consultancy Assignments that are *",""
"typesOfAssignmentsHint","Your preferred types of the assignments you want to tackle (You may select more than one option)",""
"assignmentTypes","Assignment Types",""
"locationOfAssignments","Location of Assignments",""
"locationOfAssignmentsHint","Your preferred location of the assignments you want to tackle (You may select more than one option).<br> if your language is not listed please type it down.",""
"chooseCV","Upload my CV",""
"education","Education *",""
"university","University",""
"degree","Degree",""
"fieldOfStudy","Field of study",""
"endDate","End date",""
"changeDate","change date",""
"removeEducation","Remove Education",""
"addEducation","Add Education",""
"workExperience","Work experience *",""
"jobTitle","Job Title",""
"company","Company",""
"startDate","Start date",""
"present?","Present?",""
"presentHint","Do you still work there?",""
"removeWorkExperience","Remove Work Experience",""
"addWorkExperience","Add Work Experience",""
"certifications","Certifications",""
"name","Name",""
"credential","Credential",""
"credentialURL","Credential URL",""
"completedBy","Completed by",""
"removeCertification","Remove Certification",""
"addCertification","Add Certification",""
"specializationAndPreferences","Specialization and Preferences",""
"resume","Resume",""
"stepOneImgCaption","Step one",""
"experiencedIn","I am Experienced and Specialized in these Fields *",""
"experiencedInHint","You can choose more than one major field of experience.",""
"areYouSureYouWantToBack","Are you sure you want to go back?",""
"ifYouGoBackYourDataWillBeLost","If you chose to go back your data in this page will be lost and you will have to fill it again.",""
"confirm","Confirm",""
"cancel","Cancel",""
"basicInformation","Basic Information",""
"firstName","First Name",""
"shortName","Short Name",""
"lastName","Last Name",""
"email","Email",""
"educationHeader","Education",""
"certificationHeader","Certification",""
"workExperienceHeader","Work Experience",""
"educationAndCertificationHeader","Education and Certification",""
"summary","Summary",""
"linkedInProfileUrl","Linked in Profile Link",""
"CV","CV",""
"viewCV","View my CV",""
"updateCalendarTitle","Please Update your Calendar with your Available Times",""
"chooseLanguage","Choose Language","إختر لغة"
"english","English","الانجليزية"
"englishShortcut","EN","EN"
"arabic","Arabic","العربية"
"arabicShortcut","ع","ع"
"questionAltImg","Question Image","صورة السؤال"
"closeIn","Close in","يُغلق في خلال"
"postDatetitle","Posted on: ",""
"referenceNumber","Reference #",""
"answer","Answer","إجابة"
"attach","Attach",""
"field","Fields: ",""
"industrytitle","Industry: ",""
"all","All","الكل"
"day","Day","يوم"
"hour","Hour","ساعة"
"minute","Minute","دقيقة"
"clearAll","Clear All","إعادة الكل"
"signUp","Sign Up",""
"bePartOfTheFastedGrowingTalentCommunity","Be Part of the Fasted Growing Talent Community\n",""
"FirstName","First Name",""
"LastName","Last Name",""
"password","Password",""
"confirmPassword","Confirm Password",""
"register","Register",""
